,county_state,county,state,state_long,total_zipcode_score,id
348,"Calhoun County, IL",Calhoun County,IL,Illinois,0.4602120077027514,17013
349,"Calhoun County, MI",Calhoun County,MI,Michigan,0.5163886049083299,26025
350,"Calhoun County, MS",Calhoun County,MS,Mississippi,0.3679823596781152,28013
351,"Calhoun County, SC",Calhoun County,SC,South Carolina,0.45149212191989085,45017
352,"Calhoun County, TX",Calhoun County,TX,Texas,0.47594792032731015,48057
353,"Calhoun County, WV",Calhoun County,WV,West Virginia,0.3241075885954947,54013
354,"Callahan County, TX",Callahan County,TX,Texas,0.5039737922156959,48059
355,"Callaway County, MO",Callaway County,MO,Missouri,0.5006499869536133,29027
356,"Calloway County, KY",Calloway County,KY,Kentucky,0.40972242709500195,21035
357,"Calumet County, WI",Calumet County,WI,Wisconsin,0.6092549933621372,55015
358,"Calvert County, MD",Calvert County,MD,Maryland,0.6947472631641446,24009
359,"Camas County, ID",Camas County,ID,Idaho,0.3257449075630252,16025
